ip,datetime,request_type,request,status,size,referrer,user_agent
114.119.128.158,06/Aug/2024:00:00:15 +0000,GET,/pfaf/BlagdonWilderness.php,200,9473,self,"Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
207.46.13.125,06/Aug/2024:00:00:31 +0000,GET,/wallpaper/wallpaper.php?FILENAME=06-14-12(184120).png,200,8383,-,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
93.95.228.246,06/Aug/2024:00:00:36 +0000,GET,/,200,20856,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:01:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:02:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:03:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
65.21.161.160,06/Aug/2024:00:03:45 +0000,GET,/robots.txt,200,3634,-,Mozilla/5.0 (compatible; AwarioBot/1.0; +https://awario.com/bots.html)
65.21.161.160,06/Aug/2024:00:03:45 +0000,GET,/robots.txt,200,572,-,Mozilla/5.0 (compatible; AwarioBot/1.0; +https://awario.com/bots.html)
65.21.161.160,06/Aug/2024:00:03:45 +0000,GET,/singsurf/SingSurf.html,200,4239,-,Mozilla/5.0 (compatible; AwarioBot/1.0; +https://awario.com/bots.html)
65.21.161.160,06/Aug/2024:00:03:54 +0000,GET,/,200,6634,-,Mozilla/5.0 (compatible; AwarioBot/1.0; +https://awario.com/bots.html)
93.95.228.246,06/Aug/2024:00:04:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
156.59.198.135,06/Aug/2024:00:05:26 +0000,GET,/parade/ADE/A3%20@@0.svg,200,5757,-,"Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
93.95.228.246,06/Aug/2024:00:05:36 +0000,GET,/,200,20856,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
17.246.23.76,06/Aug/2024:00:05:46 +0000,GET,/admin/logger.php?width=1920&height=1080,200,3597,self,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)"
93.95.228.246,06/Aug/2024:00:06:36 +0000,GET,/,200,20856,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:07:36 +0000,GET,/,200,20854,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
212.192.24.218,06/Aug/2024:00:08:03 +0000,GET,/sorites/,200,14420,-,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
207.46.13.116,06/Aug/2024:00:08:13 +0000,GET,/wallpaper/wallpaper.php?FILENAME=singlepuzzpiece+with+gold+edge.jpg,200,8164,-,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
93.95.228.246,06/Aug/2024:00:08:36 +0000,GET,/,200,20854,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:09:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:10:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
66.249.66.19,06/Aug/2024:00:10:45 +0000,GET,/singsurf/menu/classic.html,200,4659,-,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.182 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.17,06/Aug/2024:00:10:45 +0000,GET,/robots.txt,200,3617,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
93.95.228.246,06/Aug/2024:00:11:36 +0000,GET,/,200,20856,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
64.39.223.154,06/Aug/2024:00:12:24 +0000,GET,/things/fourbar.php,200,7688,https://www.google.com/,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1"
64.39.223.154,06/Aug/2024:00:12:24 +0000,GET,/style.css,200,326,self,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1"
64.39.223.154,06/Aug/2024:00:12:24 +0000,GET,/things/main.css,200,1007,self,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1"
64.39.223.154,06/Aug/2024:00:12:24 +0000,GET,/things/processing.js,200,79290,self,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1"
64.39.223.154,06/Aug/2024:00:12:24 +0000,GET,/djep/SSlogol.jpg,200,5367,self,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1"
64.39.223.154,06/Aug/2024:00:12:25 +0000,GET,/admin/logger.php?width=390&height=663,200,228,self,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1"
64.39.223.154,06/Aug/2024:00:12:25 +0000,GET,/favicon.ico,200,12835,self,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1"
157.90.209.81,06/Aug/2024:00:12:30 +0000,GET,/robots.txt,200,3633,-,Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)
157.90.209.81,06/Aug/2024:00:12:30 +0000,GET,/robots.txt,200,572,-,Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)
157.90.209.81,06/Aug/2024:00:12:30 +0000,GET,/moon/index.html,200,9385,-,Mozilla/5.0 (compatible; BLEXBot/1.0; +http://webmeup-crawler.com/)
93.95.228.246,06/Aug/2024:00:12:36 +0000,GET,/,200,20854,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:13:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:14:36 +0000,GET,/,200,20856,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
66.249.66.19,06/Aug/2024:00:15:20 +0000,GET,/robots.txt,200,3618,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
66.249.66.164,06/Aug/2024:00:15:21 +0000,GET,/brain/rightbrain.php,200,41829,-,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.182 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.19,06/Aug/2024:00:15:21 +0000,GET,/djep/GWTImplicitPlot.php,200,4334,-,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.182 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
93.95.228.246,06/Aug/2024:00:15:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
185.191.171.18,06/Aug/2024:00:16:28 +0000,GET,/robots.txt,200,3244,-,Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)
85.208.96.202,06/Aug/2024:00:16:28 +0000,GET,/things/webworker/BeanWorker.html,200,4360,-,Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)
93.95.228.246,06/Aug/2024:00:16:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
66.249.66.165,06/Aug/2024:00:17:25 +0000,GET,/djep/GWTImplicitPlot.php,200,7380,-,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.182 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.19,06/Aug/2024:00:17:26 +0000,GET,/robots.txt,200,3617,-,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
66.249.66.19,06/Aug/2024:00:17:26 +0000,GET,/wallpaper/maintain.php?sort=hits&start=102000,200,4132,-,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.182 Mobile Safari/537.36 (compatible; GoogleOther)"
93.95.228.246,06/Aug/2024:00:17:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:18:36 +0000,GET,/,200,20854,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
66.249.66.18,06/Aug/2024:00:19:26 +0000,GET,/wallpaper/maintain.php?sort=date&start=-21500,200,4131,-,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.182 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
93.95.228.246,06/Aug/2024:00:19:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:20:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
139.59.46.183,06/Aug/2024:00:20:58 +0000,GET,/,200,7728,-,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
139.59.46.183,06/Aug/2024:00:21:02 +0000,GET,/favicon.ico,404,5620,https://phoenixnewlifepoetry.uk/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"
93.95.228.246,06/Aug/2024:00:21:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
207.46.13.116,06/Aug/2024:00:22:27 +0000,GET,/singsurf/menu/multinode.html,200,1218,-,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
93.95.228.246,06/Aug/2024:00:22:36 +0000,GET,/,200,20854,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:23:36 +0000,GET,/,200,20856,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:24:36 +0000,GET,/,200,20856,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:25:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:26:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:27:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:28:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:29:36 +0000,GET,/,200,20856,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:30:36 +0000,GET,/,200,20854,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:31:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
112.86.225.234,06/Aug/2024:00:31:46 +0000,GET,/,200,20695,-,Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)
93.95.228.246,06/Aug/2024:00:32:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
93.95.228.246,06/Aug/2024:00:33:36 +0000,GET,/,200,20854,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
85.208.96.212,06/Aug/2024:00:34:25 +0000,GET,/robots.txt,200,3245,-,Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)
85.208.96.196,06/Aug/2024:00:34:26 +0000,GET,/things/TemplateData.php?SiteName=galge.wiki,200,4485,-,Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)
93.95.228.246,06/Aug/2024:00:34:36 +0000,GET,/,200,20855,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
54.36.148.251,06/Aug/2024:00:35:33 +0000,GET,/robots.txt,200,295,-,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)
54.36.148.7,06/Aug/2024:00:35:34 +0000,GET,/papers/,200,1214,-,Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)
93.95.228.246,06/Aug/2024:00:35:36 +0000,GET,/,200,20854,-,check_http/v2.3.3 (monitoring-plugins 2.3.3)
66.249.66.18,06/Aug/2024:00:35:40 +0000,GET,/wallpaper/maintain.php?sort=size&start=-128100,200,4134,-,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.182 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.163,06/Aug/2024:00:36:00 +0000,GET,/wallpaper/gwt_wallpaper/gwt_wallpaper.nocache.js,200,6886,self,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6478.182 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
